Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

conv1_1, 224, 224, 3, 3, 3, 64, 1,
conv1_2, 224, 224, 3, 3, 64, 64, 1,
conv2_1, 112, 112, 3, 3, 128, 128, 1,
conv2_2, 112, 112, 3, 3, 128, 128, 1,
conv3_1, 56, 56, 3, 3, 256, 256, 1,
conv3_2, 56, 56, 3, 3, 256, 256, 1,
conv3_3, 56, 56, 3, 3, 256, 256, 1,
conv3_4, 56, 56, 3, 3, 256, 256, 1,
conv4_1, 28, 28, 3, 3, 512, 512, 1,
conv4_2, 28, 28, 3, 3, 512, 512, 1,
conv4_3, 28, 28, 3, 3, 512, 512, 1,
conv4_4, 28, 28, 3, 3, 512, 512, 1,
conv5_1, 14, 14, 3, 3, 512, 512, 1,
conv5_2, 14, 14, 3, 3, 512, 512, 1,
conv5_3, 14, 14, 3, 3, 512, 512, 1,
conv5_4, 14, 14, 3, 3, 512, 512, 1,
fc6, 1, 1, 1, 1, 512, 4096, 1,
fc7, 1, 1, 1, 1, 512, 4096, 1,
fc8, 1, 1, 1, 1, 512, 1000, 1,
